,HIP,TYC,RA,Dec,Umag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag,dist,M_V,Type,Lstar,pmRA,pmDec,BmV,angdiam
2228,31711,,99.5015,-61.5334,,6.774,6.15,6.3,5.46,5.08,4.75,4.544,20.9177,4.54743,G1/G2V,1.337,-51.983,69.243,0.6239999999999997,0.4912566102426789
2229,31734,,99.5882,18.4804,,13.409,11.71,,9.88,9.334,8.679,8.551,48.9237,8.2624,M0,0.499897,-80.69,-13.83,1.6989999999999998,0.3160926751868242
2230,31821,,99.7985,-26.5719,,9.209,8.44,,7.62,,,,47.951,5.03601,K1V,0.92782,-39.847,25.022,0.7690000000000001,0.2045595251517319
2231,31833,,99.8334,-49.2928,,,,,,,,,44.4834,,?,,107.203,295.787,,
2232,31850,,99.8812,24.6002,,6.953,6.43,,5.83,5.354,5.142,5.095,35.6938,3.66704,F8IV,2.8953,19.332,90.763,0.5230000000000006,0.3834103241348039
2233,31862,,99.9068,-55.6097,12.486,11.177,9.8,8.883,8.18,6.861,6.276,6.027,13.1768,9.20095,K7V,0.0457544,-392.279,11.176,1.376999999999999,0.3275407089025765
2234,31878,,99.9584,-61.4782,12.224,10.967,9.71,9.11,8.18,7.301,6.643,6.5,22.2412,7.97421,M1V,0.113846,-27.306,74.995,1.2569999999999997,0.25996467319427524
2235,31931,,100.094,-82.38,,11.436,10.35,,9.19,8.258,7.702,7.537,48.6008,6.91678,?,0.222878,-65.33,281.488,1.0860000000000003,0.13791389535098744
2236,31965,,100.204,51.9783,,8.272,7.6,7.2,6.87,6.403,6.161,6.086,42.8559,4.43995,G0,1.50473,0.446,-291.813,0.6720000000000006,0.26683340358063806
2237,31998,,100.291,1.17989,,12.06,11.68,11.62,,11.043,10.965,10.876,40.1768,8.66012,?,0.0280147,7.41,25.07,0.3800000000000008,0.028670759697475186
2238,32001,,100.293,61.1355,,12.71,11.36,10.5,9.8,8.941,8.291,8.171,42.9945,8.19294,?,0.108976,-76.854,-210.092,1.3500000000000014,0.14983243659313916
2239,32010,,100.315,23.9577,10.034,9.101,8.08,7.441,7.01,6.169,5.605,5.546,17.2745,6.89298,K2,0.211069,205.823,-276.746,1.0210000000000008,0.3501279847108501
2240,32043,,100.415,-35.5537,,10.614,9.63,,8.6,7.413,6.861,6.677,27.9954,7.39457,K5,0.127148,205.862,6.214,0.984,0.16131377087999013
2241,32076,,100.522,-15.2153,,7.533,6.97,,6.33,5.867,5.58,5.511,30.2824,4.56405,F7V,1.28807,-172.562,-129.319,0.5630000000000006,0.31340485201729334
