,HIP,TYC,RA,Dec,Umag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag,dist,M_V,Type,Lstar,pmRA,pmDec,BmV,angdiam
0,2,,0.004265,-19.4988,,10.269,9.27,,8.23,7.402,6.975,6.807,39.8076,6.27017,K3V,0.365134,163.52,-2.362,0.9990000000000006,0.19512132685328795
1,18,,0.052829,-4.05368,,12.597,11.03,10.611,9.54,8.599,8.0,7.851,43.9688,7.81428,K5,0.420381,-119.595,24.291,1.5670000000000002,0.30111194729962826
2,38,,0.113126,-79.062,,9.428,8.65,,7.84,7.301,6.884,6.858,40.1234,5.63301,G6V,0.540806,162.431,-62.065,0.7780000000000005,0.18788874762601288
3,47,,0.134996,-56.8356,,11.93,10.78,,9.53,8.575,7.968,7.867,45.1266,7.50784,K3V,0.153252,-44.969,-145.359,1.1500000000000004,0.12757173502050603
4,54,,0.152594,17.9689,,11.6,10.57,10.208,9.49,8.623,8.077,7.949,49.8753,7.08057,M:,0.17945,366.227,-18.673,1.0299999999999994,0.11294162569704518
5,57,,0.167999,-69.676,,9.133,8.27,,7.39,6.773,6.341,6.227,29.3383,5.93282,K2V,0.435147,-40.569,-67.54,0.8629999999999995,0.25122928464554756
6,58,,0.173519,62.1759,,7.57,7.05,,6.46,6.072,5.881,5.808,38.3806,4.12944,G0,1.88853,-46.809,-43.283,0.5200000000000005,0.2871605420986571
7,68,,0.200383,16.9882,,9.73,8.79,8.9,7.8,6.954,6.432,6.34,30.1559,6.39314,K0,0.302105,-52.696,-307.114,0.9400000000000013,0.2215595641985411
8,74,,0.222345,35.7526,,10.998,9.93,9.4,8.9,8.037,7.463,7.402,42.1076,6.8082,K5,0.241133,158.791,-41.084,1.0679999999999996,0.16202321519232776
9,81,,0.243414,-4.93253,,9.212,8.57,,7.86,7.341,7.026,6.956,45.3069,5.28918,G5,0.676757,-187.028,-173.015,0.6419999999999995,0.1646646301532898
10,84,,0.252427,27.8863,,10.462,9.61,9.1,8.71,8.104,7.715,7.6,47.7783,6.21385,K0,0.333002,227.39,-5.08,0.8520000000000003,0.13345546765065114
11,96,,0.304945,13.9751,,11.82,10.46,,8.87,,,,43.0191,7.29169,M0,0.255407,26.07,160.186,1.3599999999999994,0.23215737309602355
12,110,,0.348614,39.6107,,9.397,8.61,,7.79,7.132,6.761,6.682,49.6278,5.13137,G5,0.862121,-33.56,-44.22,0.7870000000000008,0.1936521986267639
13,111,,0.349847,34.2818,,12.588,11.28,10.815,9.77,8.598,7.963,7.795,38.1509,8.37248,M2,0.0856089,254.856,-5.113,1.3079999999999998,0.14117329607573684
14,112,,0.357676,-16.9484,13.478,12.144,10.76,10.37,9.04,8.017,7.408,7.217,31.2839,8.28339,M1.5V:,0.108457,293.789,-253.769,1.3840000000000003,0.21405729920698324
15,143,,0.455647,21.4625,,11.383,10.35,9.6,9.27,8.376,7.866,7.783,46.2839,7.02285,K3,0.189912,175.345,147.296,1.0329999999999995,0.12562553288421713
16,149,,0.477848,26.004,,12.192,11.26,10.8,10.28,9.372,8.859,8.743,45.5166,7.96915,K3,0.0701356,-306.76,-630.26,0.9320000000000004,0.07017141960644545
17,169,,0.536383,-68.2808,11.838,10.63,9.24,8.372,7.59,,,,15.1957,8.3314,M0V,0.105742,216.425,-226.585,1.3900000000000006,0.43730780879684394
18,171,,0.542313,27.0823,6.47,6.49,5.8,5.16,4.98,4.42,4.0,3.89,12.1699,5.37357,G3V,0.640254,780.22,-917.75,0.6900000000000004,0.6247975432510329
19,184,,0.589769,11.0062,9.96,9.368,8.48,,7.59,,,,33.8711,5.83085,K0,0.484211,-4.948,-42.711,0.8879999999999999,0.23641069712039242
20,191,,0.612961,-46.0289,,13.92,12.43,12.057,10.42,9.179,8.518,8.34,37.1374,9.58094,M3,0.0499487,200.937,-11.63,1.4900000000000002,0.12911236545588403
21,194,,0.623759,8.48546,,6.015,5.7,,5.34,5.077,5.008,4.91,37.334,2.83947,F0V,5.89833,-93.393,-46.8,0.3149999999999995,0.4123339600400221
22,223,,0.696563,2.13016,,7.787,7.17,,6.48,6.059,5.779,5.674,43.1053,3.99735,G0,2.21473,61.711,-93.171,0.617,0.3045856717724764
23,263,,0.829178,4.68693,,13.513,12.04,11.597,10.29,8.833,8.183,7.976,28.66,9.75362,M1,0.0390912,-25.761,-84.286,1.4730000000000008,0.14793943451700614
24,296,,0.922853,-28.3962,,9.02,8.24,,7.42,6.97,6.621,6.554,40.2123,5.2182,G8V,0.793292,281.377,-142.027,0.7799999999999994,0.22752826865833856
25,305,,0.972308,-28.3938,,8.401,7.66,,6.87,6.428,6.116,6.022,46.9043,4.30394,G5IV,1.77624,88.64,-16.36,0.7409999999999997,0.2826547867744944
26,350,,1.09914,-57.3227,,11.47,10.37,,9.31,8.405,7.866,7.745,48.4583,6.94316,K5V,0.221175,-39.659,73.344,1.1000000000000014,0.14018849519989893
27,351,,1.10367,-47.068,,10.655,9.8,,8.9,8.215,7.774,7.654,47.9207,6.39738,K0V,0.28193,292.563,35.608,0.8549999999999986,0.12279064450683448
28,359,,1.14617,-76.8736,,9.729,9.09,,8.39,7.895,7.565,7.509,44.3066,5.85766,G3/G5III/IV,0.40086,158.562,-20.866,0.6389999999999993,0.1291360496393629
29,375,,1.16766,34.2714,,,9.0,,,,,,28.9687,6.69035,?,,94.78,-80.11,,
30,394,,1.224,34.6598,6.82,6.722,6.09,5.56,5.36,4.84,4.497,4.438,35.3568,3.34764,G2V,4.04303,795.983,121.538,0.6320000000000006,0.5098365488357828
31,400,,1.23467,23.2696,,8.575,7.82,7.3,7.02,6.398,6.027,5.932,26.3681,5.7146,G9V,0.489683,382.548,-7.273,0.754999999999999,0.26729649042972387
32,407,,1.24465,-70.2124,,8.84,8.13,,7.37,6.882,6.649,6.502,44.237,4.90107,G5V,1.00967,52.533,-96.347,0.7099999999999991,0.21898550080108659
33,420,,1.28123,-52.1517,,8.107,7.53,,6.88,6.501,6.214,6.168,42.3273,4.3969,G0V,1.50784,-110.865,-129.764,0.5769999999999991,0.24617678919941122
34,428,,1.29537,45.7866,,11.422,9.95,9.2,8.04,6.704,6.098,5.853,11.5,9.64651,M2,0.0429629,870.753,-151.267,1.4720000000000013,0.38634839095379553
35,436,,1.3237,-67.8326,10.503,9.566,8.49,7.838,7.29,6.44,5.885,5.714,16.385,7.41776,K5V,0.138847,-116.675,-560.436,1.0760000000000005,0.3189914850158982
36,443,,1.33392,-5.70762,6.52,5.639,4.61,3.83,3.57,2.89,2.31,2.21,39.4945,1.62732,K1III,27.2105,-6.54,87.85,1.029,1.7543425227109226
37,439,,1.35178,-37.3574,11.074,10.022,8.56,7.589,6.43,5.328,4.732,4.535,4.34531,10.3699,M2V,0.0211745,5633.37,-2334.79,1.4619999999999997,0.7144434211438875
38,460,,1.37021,22.2245,,9.865,9.13,8.6,8.35,7.699,7.327,7.264,47.089,5.7654,G5,0.461186,169.496,-74.265,0.7349999999999994,0.1425497869083364
39,462,,1.37985,-9.61747,,7.576,7.13,,6.61,6.266,6.082,6.007,49.8892,3.63997,F5,2.89963,86.031,-75.511,0.44599999999999973,0.2532534585907264
40,473,,1.42089,45.8121,10.86,9.61,8.2,8.3,6.5,,,,11.511,7.89444,K2,0.169881,888.615,-162.47,1.4100000000000001,0.7410429736362306
41,475,,1.42364,58.3133,,8.856,8.22,7.8,7.52,7.056,6.814,6.725,46.9916,4.8599,G0,1.00462,64.454,-163.295,0.6359999999999992,0.19208631791151629
42,490,,1.46894,-41.7531,,8.105,7.51,,6.84,6.464,6.189,6.117,38.8457,4.56329,G0V,1.30097,97.746,-76.424,0.5950000000000006,0.25376903339005624
43,493,,1.47812,18.235,8.05,8.046,7.45,7.1,6.78,6.332,6.08,6.034,37.4289,4.58396,F8,1.27716,-150.936,-147.985,0.5959999999999992,0.26118599025605144
44,495,,1.48113,18.0759,,9.5,8.58,,7.62,,,,37.6832,5.69926,K0...,0.560486,-147.614,-145.798,0.9199999999999999,0.23672972617297028
45,518,,1.56589,58.4367,,6.667,5.98,6.0,5.24,4.87,4.42,4.33,20.9203,4.37716,G5V,1.6001,237.89,36.693,0.6869999999999994,0.5729930164135133
46,522,,1.5799,-49.0752,,6.219,5.7,,5.12,,,,26.2051,3.60807,G1IV...,3.05122,575.03,-40.69,0.5190000000000001,0.5340863518390063
47,523,,1.57992,-65.8405,14.946,13.72,12.17,11.106,9.73,8.479,7.839,7.631,17.4386,10.9624,M4,0.0209415,197.074,-549.216,1.5500000000000007,0.17023917349063047
48,544,,1.65327,29.0215,,6.822,6.07,5.6,5.27,4.733,4.629,4.314,13.7786,5.37398,K0V,0.668409,380.092,-177.573,0.7519999999999998,0.5961121787463718
49,560,,1.70869,-23.1075,,6.576,6.19,,5.74,5.451,5.331,5.24,39.9602,3.18186,F2IV,4.36865,96.776,-47.121,0.38599999999999923,0.3620907409054896
50,570,,1.73081,-30.6085,,,12.21,,,10.651,10.321,10.222,34.5423,9.51824,?,,43.77,-5.85,,
51,606,,1.84393,-25.3566,,7.523,7.06,,6.53,6.179,5.975,5.915,49.6796,3.57911,F5V,3.07536,210.826,-134.605,0.4630000000000001,0.2670240393342802
52,616,,1.88559,-23.8187,,9.498,8.7,,7.86,7.212,6.825,6.685,32.7183,6.12604,K0V,0.346066,320.793,91.219,0.798,0.18851214519134835
53,641,,1.96702,55.577,,8.43,7.82,7.4,7.14,6.724,6.473,6.419,48.9335,4.37197,G0,1.56446,203.254,9.679,0.6099999999999994,0.22393260992082836
54,669,,2.06818,-14.8245,,7.664,7.04,,6.35,5.947,5.628,5.556,27.3467,4.85548,G2/G3V,1.00674,-14.55,-11.088,0.6239999999999997,0.32606817083770956
55,677,,,2.09691,29.0904,1.48,2.032,2.07,2.09,2.17,2.3,2.33,2.37,29.7442,-0.297011,,1.99,137.46,-0.552,0.08744962339945403
56,682,,2.10727,6.61681,,8.216,7.59,,6.9,6.422,6.149,6.116,38.523,4.6614,G2V,1.20432,87.378,-1.739,0.6259999999999994,0.25371027234032195
57,687,,2.11367,17.4243,13.463,12.19,10.73,9.829,8.88,7.807,7.165,6.98,21.7386,9.04384,M0,0.0712399,-92.731,-65.913,1.459999999999999,0.2616819543457804
58,699,,2.17058,36.6271,,6.714,6.21,5.9,5.63,8.35,8.72,12.36,32.5999,3.64392,F8IV,2.93359,-114.069,-124.3,0.5040000000000004,0.41485235547595595
59,723,,2.23847,66.4567,,9.455,8.57,8.1,7.68,7.027,6.616,6.518,36.4,5.76449,G5,0.514191,177.747,4.369,0.8849999999999998,0.22582578342439397
60,731,,2.26207,27.6516,,12.91,11.65,11.0,10.22,9.419,8.777,8.662,42.4809,8.50903,M1,0.0698894,224.15,145.08,1.2599999999999998,0.1070842925488889
61,738,,2.26817,-27.1221,14.332,13.223,11.73,10.729,9.83,8.655,8.143,7.856,23.7425,9.85236,M0V,0.0397101,692.255,90.142,1.4930000000000003,0.1796056063808625
62,746,,2.29452,59.1498,2.73,2.66,2.28,1.97,1.88,1.63,1.43,1.44,16.7842,1.1555,F2III-IV,28.1343,523.5,-179.77,0.38000000000000034,2.174899536555516
63,754,,2.31561,25.282,,8.46,7.78,7.5,7.04,6.49,6.161,6.097,40.1768,4.76012,G0,1.12189,175.348,-158.97,0.6800000000000006,0.24799912977838992
64,765,,2.35267,-45.7474,5.73,4.893,3.88,3.11,2.88,2.182,1.675,1.561,41.3252,0.798924,K0III,57.2799,120.935,-180.438,1.013,2.3899653295615204
65,787,,2.43271,-31.8255,,10.495,9.53,,8.52,7.666,7.177,7.051,44.2719,6.29936,K1/K2V,0.339578,404.733,-233.688,0.9649999999999999,0.16385380924000167
66,897,,2.76921,-5.78397,13.534,12.278,10.86,10.407,9.14,7.976,7.314,7.119,24.2657,8.93503,M2,0.0672956,255.868,8.368,1.418000000000001,0.22199857895628156
67,898,,2.76929,5.20883,,12.945,11.55,11.145,9.89,8.53,7.883,7.693,38.6687,8.6132,M2V:,0.0829387,261.651,68.236,1.3949999999999996,0.15276460137685824
68,910,,2.81607,-15.468,5.35,5.377,4.89,,4.3,3.94,3.68,3.63,17.9898,3.61487,F5V,2.99538,-76.262,-268.283,0.4870000000000001,0.7466119031380469
69,916,,2.83811,58.3499,,10.754,9.5,8.7,8.08,7.189,6.593,6.474,28.0595,7.2596,K7,0.219851,228.191,21.075,1.2539999999999996,0.2845185874019725
70,919,,2.84349,30.4496,,8.705,7.95,7.5,7.15,6.576,6.257,6.176,34.2767,5.275,K0V,0.734102,209.637,35.603,0.7549999999999999,0.25176378352282425
71,934,,2.89914,-57.4725,,9.931,9.04,,8.14,7.475,7.087,6.993,37.1488,6.19028,K1V,0.348064,135.195,-67.025,0.891,0.18347074787172185
72,943,,2.90605,10.3283,,9.253,8.61,,7.9,7.43,7.067,7.039,47.178,5.2413,G0,0.707277,-37.784,-49.907,0.6430000000000007,0.16185209856573035
73,948,,2.92353,-39.2299,,10.991,9.92,,8.79,7.851,7.255,7.188,34.8873,7.20666,K5V,0.167653,738.499,-125.657,1.0709999999999997,0.16364267491405704
74,950,,2.93337,-35.1331,,5.699,5.24,,4.71,4.41,4.159,4.13,21.648,3.56291,F3/F5V,3.1191,171.529,126.67,0.45899999999999963,0.6143881901667315
75,974,,3.01677,27.099,,9.775,8.73,8.1,7.63,6.88,6.412,6.298,25.9302,6.66097,K0,0.268786,283.052,-82.023,1.045,0.27042572104161705
76,999,,3.1263,14.5635,,9.179,8.44,8.0,7.65,6.847,6.38,6.245,44.0882,5.21839,K0,0.764132,325.739,-80.542,0.7390000000000008,0.19686026298284276
77,1003,,3.13672,-30.8598,,9.403,8.66,,7.87,7.343,7.049,6.93,47.9994,5.25382,G8/K0V,0.741529,-15.474,-225.752,0.7430000000000003,0.17879540085157788
78,1006,,,3.13963,21.7134,,13.15,11.67,11.251,9.72,8.837,8.277,8.042,31.2377,9.19660,,,190.244,,
79,1031,,3.20938,-57.9126,8.344,7.995,7.22,6.803,6.4,5.852,5.47,5.383,20.6296,5.64755,K0V,0.531991,-118.145,35.068,0.7750000000000004,0.361578534567586
80,1044,,3.26073,-45.1768,,12.048,10.74,10.02,9.23,8.372,7.711,7.567,38.8728,7.79177,K5,0.146151,-59.352,-171.366,1.3079999999999998,0.1810308350122705
81,1055,,3.28822,20.3824,,11.77,10.41,9.908,8.82,7.945,7.306,7.166,41.5464,7.31734,M0,0.249446,223.963,-2.347,1.3599999999999994,0.23756501299546925
82,1068,,3.31593,69.3269,,13.89,12.49,14.7,10.82,8.556,7.984,7.746,20.0361,10.9809,M6,0.00953362,723.93,-293.85,1.4000000000000004,0.10029455228055432
83,1078,,3.35266,19.0713,,11.05,9.86,9.525,8.54,7.727,7.14,7.003,33.9619,7.20504,K7,0.219562,442.912,-126.465,1.1900000000000013,0.21093967401338945
84,1083,,3.37116,-36.8287,,12.214,10.77,10.357,8.99,7.803,7.183,6.962,28.1849,8.51992,M0.5V,0.108404,-211.31,-320.2,1.4440000000000008,0.24678641719764605
85,1085,,3.37884,-40.3583,,9.963,9.05,,8.09,7.444,7.015,6.879,35.7064,6.28627,K1V,0.324242,122.375,49.508,0.9129999999999985,0.18866359639763144
86,1086,,3.3785,41.0354,,6.041,5.71,5.5,5.32,4.993,4.945,4.841,37.291,2.85198,F0IV,5.82577,-123.289,-146.201,0.3310000000000004,0.4197088125795267
87,1092,,3.4113,80.6658,,12.696,11.14,10.681,8.68,7.756,7.131,6.904,19.2491,9.71795,M0,0.0683021,250.623,184.89,1.5559999999999992,0.277960833807219
88,1113,,3.47089,-74.6883,,9.503,8.76,,7.97,7.406,7.087,6.962,45.847,5.45345,G6V,0.616989,82.811,-49.076,0.7430000000000003,0.17074828222798769
89,1119,,3.50042,-10.9537,,10.382,9.42,,8.41,7.748,7.317,7.184,42.3282,6.28685,K0,0.342171,173.976,14.289,0.9619999999999997,0.17155190371350826
90,1128,,3.51866,-11.3116,,9.005,8.36,,7.65,7.136,6.816,6.722,42.8416,5.20067,G5,0.734237,422.392,-191.907,0.6450000000000014,0.18203503348696995
91,1134,,3.54273,-7.19912,,7.841,7.32,,6.73,6.402,6.17,6.073,45.9124,4.01035,F5,2.10844,104.539,-67.911,0.5209999999999999,0.2538855076656142
92,1140,,3.56128,-55.0697,,7.122,6.66,,6.13,5.795,5.635,5.543,46.1928,3.33713,F5IV/V,3.84236,-2.89,-28.869,0.46199999999999974,0.32064463358426276
93,1148,,3.58976,60.3417,,9.24,8.51,8.0,7.73,7.045,6.721,6.618,42.027,5.39236,G8III,0.649969,191.89,11.75,0.7300000000000004,0.18846754099917604
94,1206,,3.76931,-68.5301,,9.265,8.57,,7.82,7.317,6.982,6.909,46.569,5.22951,G6V,0.733997,48.167,54.957,0.6950000000000003,0.17554791799850095
95,1242,,3.86712,-16.1338,14.49,13.24,11.49,10.273,8.48,7.215,6.71,6.39,4.98678,13.0009,M:,0.00759484,731.83,-607.73,1.75,0.4035548565173933
96,1276,,4.00831,-48.2609,14.217,13.227,11.58,10.506,8.86,7.969,7.357,7.112,24.8835,9.60044,M5,0.118911,-43.119,-244.691,1.6470000000000002,0.29050020116085645
97,1292,,4.05282,-79.8512,7.692,7.339,6.59,6.6,5.8,5.366,4.99,4.859,17.5648,5.36678,G6V,0.671218,433.908,-56.322,0.7490000000000006,0.46737641312304284
98,1294,,4.04827,30.5326,,9.755,8.79,8.894,7.78,6.919,6.4,6.314,39.2764,5.81934,K2,0.528381,189.887,47.838,0.9650000000000016,0.2303862428011601
99,1295,,4.06097,19.8605,,13.275,11.79,11.899,9.81,,,,15.2156,10.8786,M:,0.0146319,714.507,-761.417,1.4850000000000012,0.1711567526376538
100,1308,,4.10194,-46.7198,,12.318,11.06,10.27,9.64,8.686,8.063,7.888,44.0011,7.84268,K5,0.128707,206.587,17.367,1.2579999999999991,0.1399106005671825
101,1322,,4.15239,-50.269,14.983,13.91,12.38,11.336,10.08,8.967,8.33,8.168,23.6956,10.5067,M4,0.0280056,332.54,269.527,1.5299999999999994,0.14659674745089804
102,1334,,4.1807,20.8567,,10.96,10.01,9.4,9.01,8.262,7.763,7.658,48.8043,6.56771,K3,0.260251,382.976,15.214,0.9500000000000011,0.1282981051055841
103,1347,,4.21884,81.6636,,9.525,8.67,,7.8,7.157,6.745,6.665,33.9332,6.01688,K0,0.400261,-5.52,-22.632,0.8550000000000004,0.20661663245377598
104,1349,,4.22456,-52.6511,7.537,7.495,6.84,6.475,6.08,5.567,5.195,5.111,29.5322,4.48852,G2V,1.41992,312.066,177.155,0.6550000000000002,0.3709806300261521
105,1368,,4.27656,40.9483,,10.36,8.99,8.2,7.38,6.385,5.748,5.577,14.6983,8.15366,M0,0.1181,567.365,83.564,1.3699999999999992,0.4677769871184614
106,1382,,4.31887,-43.8527,,8.611,7.96,,7.26,6.766,6.48,6.384,36.2008,5.16641,G5IV-V,0.758145,396.185,-15.338,0.6510000000000007,0.22042966693759208
107,1386,,4.33468,29.183,,13.045,11.54,11.014,9.43,8.15,7.499,7.241,22.8695,9.74372,M:,0.0477918,691.22,427.76,1.5050000000000008,0.2022020202411863
108,1389,,4.34424,18.8595,,11.82,10.51,10.046,9.0,7.95,7.35,7.17,38.2224,7.59841,K:,0.17522,529.913,-30.211,1.3100000000000005,0.2021680567245771
109,1392,,,4.35228,8.87652,,7.249,6.66,,6.0,,,,15.186,5.75278,,-0.6,24.15,,
110,1398,,4.37606,-47.4334,,12.58,11.36,10.63,9.99,9.132,8.542,8.406,43.63,8.16107,K7,0.0943627,195.57,-76.31,1.2200000000000006,0.1124293027539519
111,1399,,4.37686,-59.9512,,12.7,11.3,,9.63,8.499,7.806,7.645,44.4277,8.06173,M1,0.140262,91.527,-74.63,1.3999999999999986,0.1734911572750565
112,1402,,4.38626,-19.0511,,6.846,6.46,,6.01,5.676,5.494,5.435,48.8231,3.01687,F3V,5.0856,20.152,-3.021,0.3860000000000001,0.31975505542130384
113,1407,,4.40276,-64.3788,,12.61,11.3,10.52,9.83,8.923,8.28,8.164,42.735,8.14608,K7,0.105808,162.3,-88.28,1.3099999999999987,0.14051171566325166
114,1412,,4.42043,-8.68227,,12.404,10.99,10.47,9.28,8.095,7.472,7.245,31.6722,8.48661,M0,0.100046,303.417,18.261,1.4139999999999997,0.20705743952666095
115,1427,,4.45826,16.331,,7.687,7.21,6.9,6.66,6.292,6.09,6.052,47.0788,3.84587,F6V,2.41386,220.599,-27.813,0.4770000000000003,0.25344723344690245
116,1444,,4.4953,-13.4556,,7.109,6.51,,5.84,5.383,5.065,4.993,26.9437,4.35771,G2V,1.57586,401.216,-0.129,0.5990000000000002,0.4040956206298872
117,1463,,4.56912,10.2028,13.572,12.359,10.88,9.869,8.78,7.564,6.922,6.741,16.7799,9.75606,M0,0.0400111,2.385,-29.318,1.4789999999999992,0.25628729198543443
118,1473,,4.5819,36.7852,4.64,4.564,4.51,4.44,4.45,4.41,4.38,4.38,42.0267,1.39237,A2V,24.968,-65.356,-43.655,0.05400000000000027,0.44752313213967093
119,1475,,4.59536,44.023,10.3,9.65,8.09,7.3,5.61,5.25,4.48,4.02,3.56265,10.3311,M1V,0.0397541,2891.52,411.903,1.5600000000000005,1.1444860258337661
120,1481,,4.60885,-63.4775,,7.997,7.46,,6.85,6.462,6.248,6.149,42.9701,4.29417,F8/G0V,1.6355,90.067,-59.18,0.5369999999999999,0.24256716054777563
121,1499,,4.67445,-8.053,,7.144,6.47,,5.76,5.329,5.041,4.897,23.4692,4.61751,G0V,1.27938,417.875,-143.768,0.6740000000000004,0.45008131174883864
122,1532,,4.77317,-9.96485,12.434,11.218,9.9,9.061,8.38,7.376,6.71,6.549,20.197,8.37357,K7V,0.0869601,-36.593,-301.435,1.3179999999999996,0.2726376212868632
123,1539,,4.80165,-3.05361,,12.305,10.93,10.574,9.31,8.269,7.645,7.463,31.1867,8.46016,K5V,0.0900952,-27.12,-217.827,1.375,0.19372990479447308
124,1546,,4.82208,-19.9085,,14.05,12.416,11.988,,9.398,8.81,8.582,33.5457,9.78782,K:...,0.0949635,534.884,-99.569,1.6340000000000003,0.19072985598163175
125,1573,,4.90199,-7.22402,,7.538,7.03,7.0,6.45,6.117,5.92,5.816,40.7445,3.97966,F5,2.15668,32.073,-148.376,0.508,0.2857296874178903
126,1598,,5.0017,38.2274,,7.61,6.97,6.6,6.27,5.764,5.52,5.426,24.714,5.00528,G0,0.878949,-141.291,-275.904,0.6400000000000006,0.34321393030344005
127,1599,,5.01775,-64.8748,4.82,4.806,4.23,3.73,3.58,3.19,2.88,2.83,8.53476,4.57404,F9V,1.28056,1699.01,1168.39,0.5759999999999996,1.123923882837461
128,1608,,5.03491,-17.0614,,13.16,11.67,11.369,9.66,8.545,7.914,7.695,22.8424,9.87629,M1+Vk:,0.0380525,141.889,-13.165,1.4900000000000002,0.1832178733432432
129,1623,,5.07042,-77.2226,,8.422,7.87,,7.25,6.862,6.634,6.566,48.4027,4.44565,F6V,1.43133,-49.42,18.58,0.5520000000000005,0.2044060190023945
130,1625,,5.07731,-32.7693,,9.214,8.5,,7.73,7.165,6.779,6.73,36.6078,5.68213,G6V,0.493751,246.07,-81.451,0.7140000000000004,0.18559549457243008
131,1674,,5.23802,67.6675,,8.725,7.91,,7.07,6.371,5.979,5.86,31.479,5.41989,G5,0.66387,25.776,74.446,0.8149999999999995,0.2774793239338838
132,1686,,5.28029,37.9686,,5.602,5.16,,4.65,4.389,4.218,4.069,49.5358,1.6854,F5III,17.5382,57.599,-38.378,0.44200000000000017,0.6243435552374156
133,1696,,5.33175,-45.7464,13.077,11.885,10.41,9.456,8.49,7.412,6.81,6.544,17.5882,9.18389,M0,0.0666251,69.909,-815.288,1.4749999999999996,0.3149891963563259
134,1719,,5.39986,-66.4763,,10.485,9.65,,8.77,8.073,7.653,7.53,45.2823,6.37036,?,0.282044,255.274,162.213,0.8349999999999991,0.12796108604801312
135,1720,,5.40528,-46.0926,14.749,13.747,12.21,11.136,9.86,8.325,7.734,7.447,19.1508,10.7991,M6,0.022408,-305.841,-360.682,1.536999999999999,0.16148260373579917
136,1723,,5.41628,-47.1776,,10.746,9.71,,8.62,,,,45.5828,6.416,K3V,0.333286,155.808,63.563,1.0359999999999996,0.16955446714372469
137,1734,,5.48351,-31.4061,13.82,12.645,11.16,10.121,9.18,7.674,7.052,6.785,18.0538,9.87716,M2V:,0.0368013,63.303,-193.889,1.4849999999999994,0.22876734820213548
138,1768,,5.59838,-27.0326,9.82,9.188,8.3,7.806,7.34,6.696,6.244,6.129,28.8767,5.99726,K1V,0.415405,201.79,-398.61,0.8879999999999999,0.25684263904876753
139,1771,,5.60501,6.66755,,12.68,11.21,10.73,9.46,8.657,7.959,7.785,44.5508,7.96572,M1Vvar,0.200344,191.022,-229.162,1.4699999999999989,0.21516490345237022
140,1779,,5.64488,-73.0324,,9.359,8.59,,7.78,7.276,6.965,6.863,47.3956,5.21131,G8V,0.789484,-8.52,-46.736,0.7690000000000001,0.19090605661684407
141,1803,,5.71578,-12.2094,7.29,7.049,6.39,,5.69,5.253,5.035,4.861,21.3102,4.74706,G3V,1.12295,394.506,61.056,0.6590000000000007,0.4586022608124845
142,1807,,5.73645,-52.5264,,10.678,9.83,,8.94,8.216,7.728,7.669,47.7432,6.43544,K0,0.270541,114.164,-474.376,0.8480000000000008,0.11992413602313495
143,1813,,5.75087,22.375,,8.209,7.57,7.1,6.87,6.375,6.112,6.024,40.6971,4.52219,F8,1.37146,202.321,-221.094,0.6389999999999993,0.2600443946902181
144,1823,,5.76975,-65.1211,,8.459,7.88,,7.23,6.777,6.524,6.462,46.7628,4.5305,F8/G0V,1.33383,-104.23,-52.503,0.5789999999999997,0.21002336026533358
145,1837,,5.8165,-33.1675,10.817,9.815,8.74,8.123,7.6,6.801,6.295,6.134,22.2364,7.00468,K3/K4V,0.202888,-31.417,126.35,1.0749999999999993,0.28379248174972355
146,1841,,5.82552,0.163704,,10.824,9.91,9.3,8.95,8.228,7.697,7.677,49.8256,6.42274,K0,0.286211,316.821,20.304,0.9139999999999997,0.12715635298476322
147,1842,,5.82719,-50.8939,14.58,13.386,11.87,10.842,9.68,8.259,7.64,7.375,20.1482,10.3488,M:,0.0294916,549.114,0.101,1.516,0.17873432767956135
148,1860,,5.87008,77.1893,,12.772,11.31,10.7,9.45,8.042,7.39,7.187,19.1381,9.90051,M2.5V,0.0326265,-837.394,45.236,1.4619999999999997,0.20135751435061153
149,1866,,5.90767,-3.76349,,11.759,10.66,,9.49,8.609,8.027,7.929,49.9705,7.16643,K6V,0.17985,251.397,-57.826,1.0990000000000002,0.1224372652303971
150,1871,,5.91375,43.6475,,9.389,8.68,8.2,7.92,7.367,7.002,6.934,45.5249,5.38876,G5,0.643655,179.927,103.014,0.7089999999999996,0.16977676605262135
151,1885,,5.94719,-36.8614,,11.858,10.6,,9.18,8.266,7.613,7.469,36.9679,7.76088,?,0.138779,-184.377,-65.995,1.258000000000001,0.17292214768269
152,1910,,6.03743,-62.1845,,12.72,11.33,11.076,9.49,8.385,7.708,7.494,44.231,8.10137,M1,0.130696,90.34,-45.142,1.3900000000000006,0.16702721216356908
153,1933,,6.09179,-24.8488,,10.464,9.56,,8.61,7.965,7.561,7.455,49.3247,6.09468,K2V,0.38373,292.369,-223.338,0.9039999999999999,0.1471873134247566
154,1936,,6.10806,-27.0268,9.56,8.86,7.92,7.365,6.93,6.197,5.707,5.559,17.9515,6.64949,K2V,0.238571,665.588,84.102,0.9399999999999995,0.3307428788243398
155,1954,,6.17728,-53.984,,7.951,7.27,,6.53,6.109,5.781,5.716,28.3521,5.00707,G8IV+...,0.89382,210.441,-27.956,0.681,0.3140347482582151
